egp_name,n_sas,soma_horas_sas,soma_loc,categoria_predominante,pipeline_family,n_sas_sem_dup,soma_horas_sas_sem_dup,soma_loc_sem_dup,categoria_egp,score_ponderado_egp,categoria_egp_sem_dup,score_ponderado_egp_sem_dup
CALLCENTER_EAD_PRESENCIAL_v01,14,36.69,2023,Simples,CALLCENTER_EAD_PRESENCIAL,0,0.0,0,Complexo,4.05,Complexo,
CALLCENTER_EAD_PRESENCIAL_v01 (2),8,65.97,888,Trivial,CALLCENTER_EAD_PRESENCIAL,8,65.97,888,Complexo,3.55,Complexo,3.55
CALLCENTER_EAD_PRESENCIAL_v01 (3),14,61.660000000000004,2023,Simples,CALLCENTER_EAD_PRESENCIAL,6,35.66,869,Complexo,4.05,Médio,2.9
CALLCENTER_EAD_PRESENCIAL_v01H,11,38.910000000000004,1290,Simples,CALLCENTER_EAD_PRESENCIAL_v01H,5,25.700000000000003,608,Complexo,3.75,Médio,3.15
CALLCENTER_EAD_PRESENCIAL_v02,14,30.61,1969,Simples,CALLCENTER_EAD_PRESENCIAL,0,0.0,0,Complexo,3.75,Complexo,
CALLCENTER_EAD_PRESENCIAL_v02 (2),14,80.86,1969,Simples,CALLCENTER_EAD_PRESENCIAL,8,71.78,1560,Complexo,3.75,Complexo,3.45
CALLCENTER_EAD_PRESENCIAL_v02 (3),8,20.89,1026,Trivial,CALLCENTER_EAD_PRESENCIAL,1,0.8,4,Complexo,3.55,Trivial,1.0
CALLCENTER_EAD_PRESENCIAL_v02 - Copia,14,36.69,2050,Simples,CALLCENTER_EAD_PRESENCIAL,0,0.0,0,Complexo,4.05,Complexo,
CALLCENTER_EAD_PRESENCIAL_v02 - Copia (2),14,57.47,2050,Simples,CALLCENTER_EAD_PRESENCIAL,4,29.68,498,Complexo,4.05,Médio,2.9
CALLCENTER_EAD_PRESENCIAL_v03,17,60.74,2137,Simples,CALLCENTER_EAD_PRESENCIAL,7,26.87,440,Complexo,4.05,Médio,3.0
CALLCENTER_EAD_PRESENCIAL_v03 (2),16,94.14,2075,Simples,CALLCENTER_EAD_PRESENCIAL,8,76.19,1104,Complexo,4.05,Complexo,3.4
CALLCENTER_EAD_PRESENCIAL_v03 (3),9,28.93,1290,Simples,CALLCENTER_EAD_PRESENCIAL,3,6.22,136,Complexo,3.55,Trivial,1.25
CALLCENTER_EAD_PRESENCIAL_v03 (4),9,25.11,1290,Simples,CALLCENTER_EAD_PRESENCIAL,0,0.0,0,Complexo,3.55,Complexo,
CALLCENTER_EAD_PRESENCIAL_v03_A,9,25.11,1290,Simples,CALLCENTER_EAD_PRESENCIAL_v03_A,0,0.0,0,Complexo,3.55,Complexo,
CALLCENTER_EAD_PRESENCIAL_v04,4,10.35,208,Trivial,CALLCENTER_EAD_PRESENCIAL,4,10.35,208,Trivial,1.6,Trivial,1.6
CAMPANHAS_CAMPUS_V13,8,29.82,627,Trivial,CAMPANHAS_CAMPUS,8,29.82,627,Simples,2.55,Simples,2.55
CAMPANHAS_CAMPUS_V14,8,18.83,591,Trivial,CAMPANHAS_CAMPUS,4,14.32,256,Simples,2.55,Simples,1.85
CAMPANHAS_PBI,21,85.09,1562,Trivial,CAMPANHAS_PBI,21,85.09,1562,Complexo,3.4,Complexo,3.4
CAMPANHAS_PBI_v2,12,34.7,1050,Trivial,CAMPANHAS_PBI,9,31.15,499,Simples,2.45,Simples,2.15
CAMPANHAS_POLO_V14,12,39.14,788,Trivial,CAMPANHAS_POLO,12,39.14,788,Médio,2.75,Médio,2.75
CAPTACAO-RECEITA-252,11,82.72999999999999,15471,Simples,CAPTACAO-RECEITA-252,6,69.42,8510,Complexo,3.6,Complexo,3.6
CAPTACAO-RECEITA-252-20250731,11,79.42999999999999,15521,Simples,CAPTACAO-RECEITA-252-20250731,6,66.12,8560,Complexo,3.6,Complexo,3.6
CAPTACAO_INICIAL_FINAL_CURVA_CURVAS,13,57.22,1080,Trivial,CAPTACAO_INICIAL_FINAL_CURVA_CURVAS,9,50.68,733,Complexo,3.7,Médio,3.25
CAP_INICIAL_CAP_FINAL,11,35.06,1247,Trivial,CAP_INICIAL_CAP_FINAL,2,7.04,108,Complexo,3.85,Trivial,1.6
CAP_INICIAL_CAP_FINAL_1,18,69.35,1727,Trivial,CAP_INICIAL_CAP_FINAL_1,9,38.769999999999996,429,Muito Complexo,4.25,Médio,2.9
CAP_INICIAL_CAP_FINAL_192,10,15.39,642,Trivial,CAP_INICIAL_CAP_FINAL_192,0,0.0,0,Complexo,3.55,Complexo,
CAP_INICIAL_CAP_FINAL_2,14,53.6,1649,Trivial,CAP_INICIAL_CAP_FINAL_2,2,22.56,384,Muito Complexo,4.25,Médio,2.75
CAP_INICIAL_CAP_FINAL_3,14,39.21,1648,Trivial,CAP_INICIAL_CAP_FINAL_3,1,2.0,13,Muito Complexo,4.25,Trivial,1.0
CAP_INICIAL_CAP_FINAL_4,14,39.21,1648,Trivial,CAP_INICIAL_CAP_FINAL_4,1,2.0,13,Muito Complexo,4.25,Trivial,1.0
CAP_INICIAL_CAP_FINAL_x,20,73.05,2383,Trivial,CAP_INICIAL_CAP_FINAL_x,6,34.56,673,Muito Complexo,4.4,Médio,3.1
CARGA AJUSTE,3,13.549999999999999,241,Trivial,CARGA AJUSTE,3,13.549999999999999,241,Simples,2.05,Simples,2.05
CARGA_CI360_ATHENAS,3,13.850000000000001,153,Trivial,CARGA_CI360_ATHENAS,3,13.850000000000001,153,Simples,1.9,Simples,1.9
CARGA_CI360_AWS_SAS,5,47.56,784,Simples,CARGA_CI360_AWS_SAS,5,47.56,784,Complexo,3.4,Complexo,3.4
CARGA_CI360_AWS_SAS_00,4,22.12,249,Trivial,CARGA_CI360_AWS_SAS_00,4,22.12,249,Simples,2.45,Simples,2.45
CARGA_CI360_AWS_SAS_202409181946,4,18.0,338,Simples,CARGA_CI360_AWS_SAS_202409181946,3,15.059999999999999,181,Médio,2.65,Simples,2.15
CARGA_CI360_AWS_SAS_ANTIGO,1,25.11,385,Médio,CARGA_CI360_AWS_SAS_ANTIGO,1,25.11,385,Médio,2.9,Médio,2.9
CARGA_CI360_AWS_SAS_v02,5,40.22,591,Simples,CARGA_CI360_AWS_SAS,5,40.22,591,Complexo,3.4,Complexo,3.4
CARGA_CI360_AWS_SAS_v02 (2),6,40.019999999999996,735,Simples,CARGA_CI360_AWS_SAS,4,36.84,533,Complexo,3.4,Complexo,3.4
CARGA_CI360_BUSINESS,1,5.29,33,Trivial,CARGA_CI360_BUSINESS,1,5.29,33,Trivial,1.65,Trivial,1.65
CARGA_CI360_OPERACAO,1,4.03,44,Trivial,CARGA_CI360_OPERACAO,1,4.03,44,Trivial,1.4,Trivial,1.4
CARGA_CI360_SOFIA,1,6.63,43,Simples,CARGA_CI360_SOFIA,1,6.63,43,Simples,1.85,Simples,1.85
CARGA_PRONATEC,4,18.21,315,Trivial,CARGA_PRONATEC,4,18.21,315,Simples,2.35,Simples,2.35
CC Callcenter,2,4.97,16,Trivial,CC Callcenter,2,4.97,16,Trivial,1.35,Trivial,1.35
CC SOMOS v6,11,33.4,404,Trivial,CC SOMOS,11,33.4,404,Simples,2.5,Simples,2.5
CC SOMOS v7,10,14.84,401,Trivial,CC SOMOS,2,7.55,71,Médio,2.65,Simples,1.95
CC SOMOS v8,12,17.99,421,Trivial,CC SOMOS,3,9.8,77,Médio,2.65,Simples,1.95
CCPRES_EMAIL,2,11.55,694,Médio,CCPRES_EMAIL,0,0.0,0,Complexo,3.4,Complexo,
CCPRES_EMAIL (2),2,38.51,694,Médio,CCPRES_EMAIL,2,38.51,694,Complexo,3.4,Complexo,3.4
